name_nsi,price,index,environment,quality_of_living,safety,transport,services,relax,condition,area,energy_costs,provision,certificate,construction_type,orientation,year_built,last_reconstruction,total_floors,floor,lift,balkonies,loggia,cellar,type,rooms,district
Harmanec,85000,41,27,4,2,84,29,39,Complete reconstruction,32,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1-room apartment,1,Banská Bystrica
Harmanec,89000,41,27,4,2,84,29,39,Original condition,88,NA,0,none,NA,NA,NA,NA,4,3,0,NA,NA,0,3-room apartment,3,Banská Bystrica
Harmanec,83000,41,27,4,2,84,29,39,Partial reconstruction,61,NA,0,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,1-room apartment,1,Banská Bystrica
Harmanec,64000,41,27,4,2,84,29,39,Original condition,31,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1-room apartment,1,Banská Bystrica
Harmanec,57000,41,27,4,2,84,29,39,Complete reconstruction,30,NA,1,none,NA,NA,1900,NA,12,11,0,NA,NA,0,1-room apartment,1,Banská Bystrica
Jahodná,88000,48,79,5,2,44,2,45,Original condition,69,NA,0,NA,NA,NA,NA,NA,2,2,0,2,NA,1,3-room apartment,3,Dunajská Streda
Nové Zámky,123000,5,97,5,28,43,21,2,Complete reconstruction,84,NA,0,NA,NA,NA,NA,2023,7,NA,1,NA,NA,0,3-room apartment,3,Nové Zámky
Nitra,144990,77,81,6,95,81,87,56,Complete reconstruction,66,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,3-room apartment,3,Nitra
Nitra,154000,77,81,6,95,81,87,56,Complete reconstruction,66,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,3-room apartment,3,Nitra
Trnava,132900,55,72,7,56,55,42,22,Partial reconstruction,9902,NA,0,NA,Brick,NA,NA,NA,NA,2,0,NA,2,0,4-room apartment,4,Trnava
Trnava,83000,55,72,7,56,55,42,22,Complete reconstruction,30,NA,0,B,Brick,NA,NA,NA,NA,NA,0,NA,NA,0,1-room apartment,1,Trnava
Bratislava - mestská časť Ružinov,192000,7,7,7,66,10,63,39,New building,688,NA,0,NA,Other,West,NA,NA,NA,4,1,NA,NA,0,3-room apartment,3,Bratislava II
Bratislava - mestská časť Rača,129900,75,77,7,7,98,73,5,New building,447,NA,0,A,NA,NA,2022,NA,7,NA,0,NA,NA,0,1-room apartment,1,Bratislava III
Bratislava - mestská časť Dúbravka,230000,6,63,7,77,53,63,32,Complete reconstruction,867,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,NA,0,3-room apartment,3,Bratislava IV
Bratislava - mestská časť Dúbravka,155000,6,63,7,77,53,63,32,New building,5675,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,3-room apartment,3,Bratislava IV
Nitra,103000,69,61,7,67,93,68,51,Partial reconstruction,61,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,3-room apartment,3,Nitra
Nitra,168500,61,69,7,67,6,64,33,New building,11882,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,3-room apartment,3,Nitra
Nitra,141000,61,69,7,67,6,64,33,New building,58,NA,1,A,NA,NA,NA,NA,5,4,0,NA,NA,0,3-room apartment,3,Nitra
Nitra,190000,78,81,7,93,77,88,59,Complete reconstruction,74,NA,0,NA,NA,NA,NA,2023,4,1,0,2,NA,0,3-room apartment,3,Nitra
Nitra,175000,61,69,7,67,6,64,33,New building,5645,NA,0,NA,NA,NA,NA,NA,5,1,1,NA,NA,0,3-room apartment,3,Nitra
Nitra,149900,61,69,7,67,6,64,33,New building,63,NA,1,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,3-room apartment,3,Nitra
Nitra,137890,61,69,7,67,6,64,33,New building,45,100,1,NA,NA,NA,NA,NA,NA,3,1,NA,NA,0,2-room apartment,2,Nitra
Nitra,122990,61,69,7,67,6,64,33,New building,45,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,2-room apartment,2,Nitra
Nitra,118490,61,69,7,67,6,64,33,New building,45,100,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,2-room apartment,2,Nitra
Nitra,165490,61,69,7,67,6,64,33,New building,61,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,3-room apartment,3,Nitra
Nitra,176900,61,69,7,67,6,64,33,New building,61,125,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,3-room apartment,3,Nitra
Nitra,148000,69,61,7,67,93,68,51,Complete reconstruction,81,NA,1,NA,NA,NA,1990,NA,7,2,0,NA,NA,0,3-room apartment,3,Nitra
Nitra,82000,61,69,7,67,6,64,33,New building,21,NA,0,A,NA,NA,NA,NA,NA,NA,0,NA,NA,0,Studio,1,Nitra
Nitra,149000,61,69,7,67,6,64,33,New building,42,NA,0,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,2-room apartment,2,Nitra
Košice - mestská časť Nad jazerom,159900,48,77,7,4,28,33,2,Partial reconstruction,65,NA,0,NA,NA,NA,NA,NA,12,8,1,NA,1,0,3-room apartment,3,Košice IV
Zvolen,142000,68,92,7,67,62,63,36,Complete reconstruction,60,NA,0,none,NA,Southeast,NA,NA,NA,NA,0,1,NA,0,3-room apartment,3,Zvolen
Zvolen,119000,68,92,7,67,62,63,36,Partial reconstruction,64,NA,0,none,NA,Southwest,NA,NA,NA,NA,0,NA,NA,0,3-room apartment,3,Zvolen
Zvolen,150000,76,95,7,95,69,71,47,Partial reconstruction,80,NA,0,B,NA,NA,NA,NA,NA,2,0,NA,NA,0,3-room apartment,3,Zvolen
Zvolen,116500,78,9,7,95,85,68,48,Partial reconstruction,57,NA,0,A,NA,NA,NA,NA,NA,7,1,1,NA,0,2-room apartment,2,Zvolen
Zvolen,81999,68,92,7,67,62,63,36,Original condition,59,NA,0,none,NA,NA,NA,NA,NA,NA,0,NA,NA,0,2-room apartment,2,Zvolen
Zvolen,82900,68,92,7,67,62,63,36,Original condition,62,NA,0,none,NA,NA,NA,NA,NA,NA,0,NA,NA,0,3-room apartment,3,Zvolen
Zvolen,81999,68,92,7,67,62,63,36,Original condition,59,NA,0,C,NA,NA,NA,NA,4,4,0,NA,NA,0,2-room apartment,2,Zvolen
Zvolen,93000,68,92,7,67,62,63,36,Original condition,61,NA,0,B,NA,NA,NA,NA,NA,NA,0,NA,NA,0,3-room apartment,3,Zvolen
Zvolen,99000,68,92,7,67,62,63,36,Partial reconstruction,6183,NA,0,B,NA,NA,NA,NA,NA,NA,0,NA,NA,1,3-room apartment,3,Zvolen
Zvolen,93000,68,92,7,67,62,63,36,Original condition,6079,NA,0,B,NA,NA,NA,NA,4,4,0,NA,NA,0,3-room apartment,3,Zvolen
Zvolen,139900,78,93,7,95,85,69,43,Partial reconstruction,75,NA,0,C,NA,NA,1970,NA,7,2,1,NA,NA,0,3-room apartment,3,Zvolen
Zvolen,135000,76,95,7,95,69,71,47,Complete reconstruction,64,NA,1,NA,NA,South,NA,NA,NA,NA,0,NA,NA,0,2-room apartment,2,Zvolen
Zvolen,149900,76,95,7,95,69,71,47,Original condition,78,NA,1,NA,NA,South,NA,NA,NA,NA,0,NA,NA,0,3-room apartment,3,Zvolen
Trnava,179000,73,78,8,82,77,64,47,Original condition,NA,NA,0,NA,Panel,NA,NA,NA,NA,6,1,3,NA,0,4-room apartment,4,Trnava
Trnava,222000,72,52,8,95,91,79,45,Original condition,101,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,4-room apartment,4,Trnava
Trnava,355000,69,83,8,48,98,32,43,New building,8008,NA,0,NA,Brick,NA,NA,NA,NA,NA,0,NA,NA,0,3-room apartment,3,Trnava
Trnava,99900,81,81,8,98,86,84,58,New building,35,NA,1,B,NA,NA,2010,NA,2,2,0,NA,NA,0,1-room apartment,1,Trnava
Voderady,180000,73,78,8,82,77,64,47,Original condition,NA,NA,0,NA,NA,NA,NA,NA,8,6,1,3,NA,0,4-room apartment,4,Trnava
Považská Bystrica,129900,54,81,8,62,28,34,2,Complete reconstruction,665,NA,0,NA,Panel,NA,NA,NA,NA,6,1,NA,NA,0,3-room apartment,3,Považská Bystrica
Považská Bystrica,103990,54,81,8,62,28,34,2,Partial reconstruction,NA,NA,0,NA,Brick,NA,NA,NA,NA,NA,0,NA,NA,0,3-room apartment,3,Považská Bystrica
Bratislava - mestská časť Podunajské Biskupice,219900,61,73,8,48,63,63,28,New building,7627,NA,0,A,Other,NA,NA,NA,NA,NA,0,NA,NA,0,3-room apartment,3,Bratislava II
Bratislava - mestská časť Ružinov,235000,65,69,8,66,86,47,25,New building,712,NA,0,B,NA,NA,2017,NA,4,1,0,NA,NA,0,3-room apartment,3,Bratislava II
Bratislava - mestská časť Ružinov,239900,65,73,8,87,56,59,33,New building,5939,NA,1,B,NA,NA,NA,NA,NA,NA,0,1,NA,0,3-room apartment,3,Bratislava II
Bratislava - mestská časť Ružinov,147000,65,69,8,66,86,47,25,New building,33,85,1,A,NA,NA,2018,NA,4,NA,0,NA,NA,0,1-room apartment,1,Bratislava II
Bratislava - mestská časť Ružinov,112900,65,73,8,87,56,59,33,New building,2435,NA,1,B,NA,NA,NA,NA,NA,NA,0,1,NA,0,1-room apartment,1,Bratislava II
Bratislava - mestská časť Ružinov,83900,63,74,8,66,72,44,24,Partial reconstruction,24,NA,1,NA,NA,NA,NA,NA,4,3,1,NA,NA,0,Studio,1,Bratislava II
